_id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
6673,3.03,Crime Number of Sexual Assaults ,m,n,214.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,1,,
6674,3.03,Crime Number of Sexual Assaults ,m,n,152.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,2,,
6675,3.03,Crime Number of Sexual Assaults ,m,n,193.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,3,,
6676,3.03,Crime Number of Sexual Assaults ,m,n,222.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,4,,
6677,3.03,Crime Number of Sexual Assaults ,m,n,175.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,5,,
6678,3.03,Crime Number of Sexual Assaults ,m,n,201.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,6,,
6679,3.03,Crime Number of Sexual Assaults ,m,n,191.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,7,,
6680,3.03,Crime Number of Sexual Assaults ,m,n,192.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,8,,
6681,3.03,Crime Number of Sexual Assaults ,m,n,200.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,9,,
6682,3.03,Crime Number of Sexual Assaults ,m,n,194.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,10,,
6683,3.03,Crime Number of Sexual Assaults ,m,n,203.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,11,,
6684,3.03,Crime Number of Sexual Assaults ,m,n,159.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2016,12,,
6685,3.03,Crime Number of Sexual Assaults ,m,n,158.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,1,,
6686,3.03,Crime Number of Sexual Assaults ,m,n,157.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,2,,
6687,3.03,Crime Number of Sexual Assaults ,m,n,218.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,3,,
6688,3.03,Crime Number of Sexual Assaults ,m,n,206.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,4,,
6689,3.03,Crime Number of Sexual Assaults ,m,n,201.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,5,,
6690,3.03,Crime Number of Sexual Assaults ,m,n,266.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,6,,
6691,3.03,Crime Number of Sexual Assaults ,m,n,189.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,7,,
